YR   MON   NINO3          
1972   1   -0.49
1972   2   -0.16
1972   3   -0.11
1972   4    0.51
1972   5    0.60
1972   6    1.04
1972   7    1.45
1972   8    1.92
1972   9    1.52
1972  10    1.91
1972  11    2.16
1972  12    2.42
1973   1    1.76
1973   2    1.03
1973   3    0.28
1973   4   -0.52
1973   5   -0.94
1973   6   -1.04
1973   7   -1.20
1973   8   -1.30
1973   9   -1.23
1973  10   -1.32
1973  11   -1.48
1973  12   -1.54
1974   1   -1.64
1974   2   -1.20
1974   3   -0.70
1974   4   -0.58
1974   5   -0.57
1974   6   -0.22
1974   7   -0.08
1974   8   -0.18
1974   9   -0.47
1974  10   -0.74
1974  11   -0.90
1974  12   -0.85
1975   1   -0.44
1975   2   -0.63
1975   3   -0.52
1975   4   -0.29
1975   5   -1.06
1975   6   -1.13
1975   7   -0.81
1975   8   -0.81
1975   9   -1.14
1975  10   -1.49
1975  11   -1.23
1975  12   -1.71
1976   1   -1.78
1976   2   -0.97
1976   3   -0.59
1976   4   -0.50
1976   5   -0.17
1976   6    0.51
1976   7    0.65
1976   8    0.84
1976   9    0.95
1976  10    0.95
1976  11    0.85
1976  12    0.77
1977   1    0.86
1977   2    0.46
1977   3    0.33
1977   4   -0.40
1977   5   -0.11
1977   6    0.08
1977   7   -0.09
1977   8   -0.38
1977   9   -0.13
1977  10    0.37
1977  11    0.40
1977  12    0.25
1978   1    0.37
1978   2   -0.10
1978   3   -0.14
1978   4   -0.73
1978   5   -0.83
1978   6   -0.76
1978   7   -0.65
1978   8   -0.60
1978   9   -0.57
1978  10   -0.31
1978  11   -0.15
1978  12    0.27
1979   1   -0.21
1979   2   -0.09
1979   3    0.19
1979   4    0.22
1979   5    0.11
1979   6    0.38
1979   7   -0.12
1979   8    0.07
1979   9    1.00
1979  10    0.37
1979  11    0.30
1979  12    0.40
1980   1    0.45
1980   2    0.18
1980   3   -0.17
1980   4   -0.03
1980   5    0.07
1980   6    0.50
1980   7    0.00
1980   8   -0.26
1980   9    0.12
1980  10   -0.23
1980  11    0.16
1980  12    0.48
1981   1   -0.56
1981   2   -0.76
1981   3   -0.29
1981   4   -0.46
1981   5   -0.32
1981   6   -0.14
1981   7   -0.50
1981   8   -0.93
1981   9   -0.16
1981  10    0.04
1981  11   -0.17
1981  12    0.36
1982   1    0.26
1982   2    0.02
1982   3   -0.11
1982   4    0.28
1982   5    0.73
1982   6    1.09
1982   7    0.86
1982   8    1.20
1982   9    1.69
1982  10    2.22
1982  11    2.66
1982  12    3.31
1983   1    3.30
1983   2    2.56
1983   3    2.01
1983   4    1.71
1983   5    1.91
1983   6    1.78
1983   7    1.04
1983   8    0.92
1983   9    0.41
1983  10   -0.28
1983  11   -0.79
1983  12   -0.65
1984   1   -0.79
1984   2   -0.14
1984   3    0.03
1984   4   -0.06
1984   5   -0.60
1984   6   -0.99
1984   7   -0.62
1984   8   -0.46
1984   9   -0.48
1984  10   -0.94
1984  11   -0.92
1984  12   -1.38
1985   1   -1.10
1985   2   -1.16
1985   3   -0.97
1985   4   -0.88
1985   5   -0.94
1985   6   -0.77
1985   7   -0.84
1985   8   -0.55
1985   9   -0.67
1985  10   -0.74
1985  11   -0.67
1985  12   -0.79
1986   1   -0.88
1986   2   -0.54
1986   3   -0.24
1986   4   -0.23
1986   5   -0.38
1986   6   -0.07
1986   7    0.12
1986   8    0.07
1986   9    0.42
1986  10    0.73
1986  11    0.96
1986  12    0.77
1987   1    1.07
1987   2    1.06
1987   3    1.11
1987   4    1.09
1987   5    1.16
1987   6    1.34
1987   7    1.49
1987   8    1.57
1987   9    1.74
1987  10    1.32
1987  11    1.17
1987  12    1.11
1988   1    0.51
1988   2    0.19
1988   3    0.05
1988   4   -0.67
1988   5   -1.84
1988   6   -1.91
1988   7   -1.87
1988   8   -1.58
1988   9   -1.22
1988  10   -1.72
1988  11   -1.93
1988  12   -2.02
1989   1   -1.46
1989   2   -0.75
1989   3   -1.07
1989   4   -0.74
1989   5   -0.68
1989   6   -0.29
1989   7   -0.30
1989   8   -0.39
1989   9   -0.38
1989  10   -0.40
1989  11   -0.40
1989  12   -0.37
1990   1   -0.27
1990   2    0.01
1990   3   -0.06
1990   4    0.26
1990   5    0.29
1990   6    0.08
1990   7   -0.13
1990   8    0.11
1990   9    0.02
1990  10    0.01
1990  11   -0.13
1990  12    0.00
1991   1    0.03
1991   2   -0.09
1991   3   -0.09
1991   4   -0.09
1991   5    0.52
1991   6    0.97
1991   7    0.99
1991   8    0.52
1991   9    0.22
1991  10    0.71
1991  11    1.03
1991  12    1.44
1992   1    1.39
1992   2    1.31
1992   3    1.24
1992   4    1.31
1992   5    1.37
1992   6    0.28
1992   7   -0.05
1992   8   -0.25
1992   9   -0.31
1992  10   -0.27
1992  11   -0.17
1992  12   -0.08
1993   1   -0.05
1993   2    0.25
1993   3    0.46
1993   4    1.04
1993   5    1.10
1993   6    0.74
1993   7    0.19
1993   8   -0.02
1993   9    0.14
1993  10    0.33
1993  11    0.21
1993  12    0.23
1994   1    0.09
1994   2   -0.29
1994   3   -0.20
1994   4   -0.35
1994   5   -0.09
1994   6    0.13
1994   7   -0.39
1994   8   -0.24
1994   9   -0.02
1994  10    0.65
1994  11    0.92
1994  12    0.98
1995   1    0.73
1995   2    0.51
1995   3   -0.01
1995   4   -0.30
1995   5   -0.66
1995   6   -0.18
1995   7   -0.17
1995   8   -0.62
1995   9   -0.81
1995  10   -0.88
1995  11   -0.93
1995  12   -0.89
1996   1   -0.65
1996   2   -0.64
1996   3   -0.38
1996   4   -0.68
1996   5   -0.73
1996   6   -0.49
1996   7   -0.23
1996   8   -0.35
1996   9   -0.46
1996  10   -0.52
1996  11   -0.57
1996  12   -0.88
1997   1   -0.91
1997   2   -0.61
1997   3   -0.11
1997   4    0.18
1997   5    1.00
1997   6    1.76
1997   7    2.43
1997   8    2.89
1997   9    3.01
1997  10    3.29
1997  11    3.59
1997  12    3.68
1998   1    3.32
1998   2    2.57
1998   3    2.05
1998   4    1.68
1998   5    1.11
1998   6   -0.37
1998   7   -0.35
1998   8   -0.33
1998   9   -0.64
1998  10   -0.83
1998  11   -0.85
1998  12   -1.22
1999   1   -1.21
1999   2   -0.79
1999   3   -0.41
1999   4   -0.74
1999   5   -0.61
1999   6   -0.78
1999   7   -0.73
1999   8   -0.93
1999   9   -1.10
1999  10   -1.14
1999  11   -1.50
1999  12   -1.54
2000   1   -1.73
2000   2   -1.05
2000   3   -0.47
2000   4    0.06
2000   5   -0.26
2000   6   -0.54
2000   7   -0.45
2000   8   -0.49
2000   9   -0.48
2000  10   -0.49
2000  11   -0.79
2000  12   -0.66
2001   1   -0.63
2001   2   -0.30
2001   3    0.14
2001   4    0.12
2001   5   -0.17
2001   6   -0.03
2001   7   -0.14
2001   8   -0.24
2001   9   -0.57
2001  10   -0.45
2001  11   -0.61
2001  12   -0.48
2002   1   -0.53
2002   2   -0.15
2002   3    0.14
2002   4    0.16
2002   5    0.19
2002   6    0.68
2002   7    0.46
2002   8    0.51
2002   9    0.70
2002  10    0.95
2002  11    1.41
2002  12    1.40
2003   1    0.76
2003   2    0.34
2003   3    0.19
2003   4   -0.25
2003   5   -0.92
2003   6   -0.54
2003   7    0.17
2003   8    0.08
2003   9    0.14
2003  10    0.43
2003  11    0.45
2003  12    0.47
2004   1    0.30
2004   2    0.10
2004   3    0.08
2004   4   -0.03
2004   5   -0.34
2004   6   -0.11
2004   7   -0.17
2004   8    0.09
2004   9    0.33
2004  10    0.43
2004  11    0.51
2004  12    0.68
2005   1    0.27
2005   2   -0.16
2005   3   -0.07
2005   4    0.37
2005   5    0.42
2005   6    0.43
2005   7    0.35
2005   8    0.23
2005   9   -0.27
2005  10   -0.21
2005  11   -0.68
2005  12   -0.81
2006   1   -0.62
2006   2   -0.28
2006   3   -0.55
2006   4   -0.15
2006   5   -0.02
2006   6    0.06
2006   7    0.22
2006   8    0.49
2006   9    0.91
2006  10    1.07
2006  11    1.12
2006  12    1.28
2007   1    0.88
2007   2    0.09
2007   3   -0.30
2007   4   -0.27
2007   5   -0.70
2007   6   -0.55
2007   7   -0.79
2007   8   -1.10
2007   9   -1.31
2007  10   -1.54
2007  11   -1.78
2007  12   -1.50
2008   1   -1.49
2008   2   -1.31
2008   3   -0.53
2008   4   -0.22
2008   5    0.02
2008   6    0.15
2008   7    0.55
2008   8    0.67
2008   9    0.26
2008  10   -0.10
2008  11   -0.20
2008  12   -0.49
2009   1   -0.59
2009   2   -0.51
2009   3   -0.64
2009   4   -0.01
2009   5    0.35
2009   6    0.74
2009   7    0.99
2009   8    0.98
2009   9    0.82
2009  10    0.83
2009  11    1.28
2009  12    1.58
2010   1    1.01
2010   2    0.76
2010   3    0.65
2010   4    0.65
2010   5   -0.09
2010   6   -0.63
2010   7   -1.04
2010   8   -1.09
2010   9   -1.25
2010  10   -1.68
